Aaron, C. F.
Conrad, Munroe
Consadie, John
Constance, Sister
Conway, Frank
Cook, Eddie
Cook, Michael
Cook, A. P. C.
Cook, Mrs. W.
Cook, Stephen D.
Cook, Richard
Cook, John
Cook, Mrs. George.
Cook, John
Cook, R. R.
Cook, George
Cook, Mrs. A.
Cooney.,
Cooper, Katie B.
Cordano, Tony
Cornell, Mrs.
Corrigan, Mike
Corry, James
Coss, Abe
Costella, Mike
Costello.,
Costillo, Michael
Costoloe, Austin
Couch, Mrs. W. H.
Couns, J. S.
Courts, Lucy
Cowgil, John H.
Cox, Sarah
Coyle, P. J.
Crabb, John B.
Craken, Mrs.
Crampler, Mrs. Emma
Crane, Charles
Croker, Fritz
Cronin, John
Cronin, Pat.
Crook, Geo. W. L.
Crook, David
Crositte, C. C.
Croto, A.
Crouder, Nancy
Crouse, John
Crowder's child,
Crowel, Henry H.
Crowel, Alice G.
Cruikshank.,
Cuffey, D. E.
Cummings, Capt. John
Cummings, Alex.
Cummins, Margaret
Cunningham, M. J.
Cunningham, Mike
Curlin, Mrs. Antonio
Curtis, Mrs. Lucy
Cutting, Baxter N.
Dahlstrom, Frank
Dahlstrom, Charles
Dairy, Frank
Dallmall, J.
Dalora, Sister
Dalton, Elizabeth
Dalton, Mrs. Maggie
Dalton, H. C.
Dalton, Mrs.
Dalton, Ambrose G.
Daly, Mary
Daly, P.
Damstadter, J.
Danso, H.
Darby, Mrs.
Dare, Charles
Darges, Fred.
Darmstadter, Mrs. J.
Dashiell, Frank
Davenport, Patty
Davey, Thomas J.
Davis, Sam
Davis, Florence
Davis, Florence
Davis, George
Davis, John
Davis, C. C.
Davis, Carrie
Davis, Miss A. M.
Davis, Bob
Davis, Byron
Davis, Mary
Davis, Ella B.
Davis, Josephine
Davis, A. E.
Davis, Emma P.
Davis, Charles J.
Davis, George
Davis, Jefferson Jr.
Davis, Mrs. Lizzie
Davy, Mary L.
Dawson, Mrs. Dr.
Dawson, Mr.
Dawson, Annie
Dawson, Dr. G. R.
Day, Owen
Dea, Michael
Dean, George
Debula, Eliza
Decker, Prof. Henry
Decker, Mrs.
Delany, Wm. J.
Demmons, Thomas
Dennison, W. L.
Dent, Giles
Dessauer, Fanny
Devoto, D.
Devoto, A.
Devoto, Dave
Dewar, N.
Dewar, Norman
Dewey, Ellen
Dicker, Mary
Dickerson, Dr. P. M.
Dickerson, James W.
Dickerson, W.P.
Dickerson, H. N.
Diggens, George
Diland, Mike
Dod, A. F.
Dodges, Josie
Doeritch, Miss Amelia
Dolan, Andy
Dolan, Mike
Dolan, Michael
Dolan, Maggie
Dolan, James
Domonic.,
Donalson, Miss
Donk, R.
Donnelly, George
Donnelly, Thomas H.
Donnelly, Dennis
Donnelly, Minnie
Donnelly, Thomas
Donoho, Mike
Donohue, Ella
Donohue, John
Donoto, Raf. D. E.
Donovan, Mrs. John
Donovan, J. Jr.
Dooley, Mike
Dorson, Annie
Dorson, John
Dougherty. Thomas L.,
Dowell, Frank T.
Downey, Jo.
Downs, Mrs.
Downs, James
Doyle, James
Dravoid, Charles
Dreyfus, Lee
Dreyfus, L.
Dreyfus, Ben.
Droyer, Lizzie
Dryfus, M.
Duffey, James
Duffey, Dan
Duffey, P. J.
Duffey, Alice
Duffy, Mrs. T. W.
Duffy, Simon B.
Dugan, Daniel
Dugan, Louise
Dumser, Mary
Dun, W. S.
Duncan, O. J.
Duncan, C. H.
Duncan, Anna B.
Dunlap, Andrew
Dunlap, Andrew Jr.
Dunn, Ed.
Dunn, Mrs. F. P.
Dunn, Anderson
Dunn, Mrs. Mary
Dunn, Paul
Dupuy, W. P.
Durk, Oscar
Dusen, Renhardt
Dyes, Mrs. M. B.
Dyke, Mrs.
Dyke, Mrs. Bettie
Dzincki, Charles
Eagen, M. J.
Early, John
Early, W. T.
Early, Rev. J. T. 
Easley, Dr. E. T.
Eberhardt, Henry 
Eberly, V.
Eblen, E.
Ebler, Virginia
Echthevarne, G.
Eddington, Aug.
Edington, Charles
Edmondson, Joanna
Edwards, John
Edwards, Robert
Edwards, Mrs.
Edwards, Charles W. 
Eisler, B. H.
Elliott, W.
Elliott, George B. 
Elliott, John D.
Elliott, Joseph H. 
Elliott, Capt. William 
Engell, Peter
Ennis, John
Enwright, Pat.
Eppelett, Thomas
Erasmus, Brother
Erb, John
Erb, Philip
Erck, Hattie C.
Erck, George
Erksine, George
Erskine, Dr. J. H.
Erych, Albert
Esch, Emma
Evans, Allen
Everett, W. E.
Eyke, Martin
Eyke, Margaret
Faben, J. W.
Fabron, John
Fagan, Charles
Faher, Edward
Fairchild.,
Family, Milly
Faris.,
Farrel, Mary
Farrel, Hugh O.
Farrell, Pat.
Farrell, Mike
Farrer, Ed.
Farris, J. B.
Farris, Ed.
Fause, N.
Fazzi, L.
Fealey, Sarah
Featherstone, W. S.
Felking, Eliza
Fenacy, Margaret
Fenman, Kate
Fennick, Miss
Fenoritz, Alice A.
Fenster, Jack
Fenster, Caroline
Fenster, Jacob
Fenwick, Mrs. Julia
Fenwick, Miles R.
Ferguson, Harry W.
Ferguson, C. W.
Ficklin, Mrs.
Field, Mary
Fields, Dora
Fifer, Wm. S.
Fifer, Charles
Finley, Jennie
Finley, Annie
Finnie, Miss Willie
Firth, R. F.
Firth, W. G.
Firth, Ettie
Firth, M. E.
Fischer, Charles G.
Fisher, Mrs. C.
Fisher, John F.
Fisher, R.
Fisher, Dave
Fithian, Hester E.
Fitzgibbons, John
Fitzpatrick, Mary E.
Flack, Clara
Flack, Mrs. B.
Flack, T. J.
Flack, W. J.
Flack, L. B.
Flack, Jennie
Flack, Laura
Flaharty, Grace
Flanagan, Katie
Flanagan, Ed.
Flanery, Mike
Fletcher, J. F.
Fletcher, Mary
Fly.,
Flyn, Fred W.
Flynn, D. P.
Flynn, Emmet
Flynn, Eliza
Foley, Thos.
Forbes, John C.
Forbes, Dr.
Force, Dr.
Ford, Willie L.
Foreman, William
Forest, Mrs. E. G.
Forester, Simon
Foresty, Thos.
Forney (infant),
Fort, Mary
Forth, R. N.
Foster, T. J.
Foster, Ed. B.
Foster, Mrs. Annie
Foster, Ida
Foster, Clara
Foster, Charlie
Fowler, Mrs. J. J.
Fox,(child)
Foy, E. A.
France, Henry L.
Francis, E. G.
Francis, Sister
Francis,(child)
Francis.,
Frank, Samuel
Frank, Sol.
Frank.,
Franks, Frank
Frederick, E.
Frich, George
Friedman, Mrs.
Friedman, Henry
Friedman, Lula
Fritz, Lucy
Fritz, John
Froese, R.
Fuchs, V.
Fuchs, Mrs. Susannah 
Fuller.,
Fullerton, Mattie
Fullerton, Ed.
Fullerton, Mrs. Catharine 
Gable, Sophia
Gaibler, Elizabeth
Gains, Mrs.
Galloway, Mary A.
Galney, H. M.
Gane, Frank
Gardner, H. C.
Garnett, M. C.
Garreson, Frank
Garrett, John
Garrison, Fred
Garry, Bridget
Garry, John
Gasper, â€”
Gates, Frank
Gates, Mrs. S. M.
Gatland, J. Coutry
Gatti, James P.
Gause, Frank
Gear, Mrs. Docia
Genoka, Caroline
Gertrude, Sister
Getshell, Miss
Getshell, Mrs.
Getshell, Linda
Getz, Lena
Gibbs, George
Gibbs, Fred
Gibson, Nathan
Gibson, E. W.
Gilbert, G. W.
Gill, Annie
Gill, Henry
Gillen, A. K.
Gilmore, Wm.
Gilmot's child,
Gimson, Wm.
Gist, R. C.
Glaentz,(child)
Glaentz, Mary
Glaentzer, Wm.
Glass, Capt. Matt.
Glass, Mrs.
Gleason, Archer
Gleason, Mrs. M. J.
Gleese, Mary
Goebel, F.
Goebels, Theodore
Goepel, Miss Eliza
Goermer, Mrs. Clara
Goery, Mr.
Going, Samuel B.
Goldstein, Fannie
Goodin, John
Goodlett, W.B.
Goodman, A. H.
Goodman, L.
Goodman, A.
Goodwin, E. B.
Goodwin's child,
Goorich, David
Goplin, N.
Gordon, Willie
Gorrell, Dr. J. O. G.
Gossett, Miss Ella
Gotschick, Mrs. M.
Govan, Eugene
Goyle, Mary
Grady, Thomas
Graff.,
Graham, Mattie
Graham, Wm.
Granning, Wm.
Grant, Mr. Lou
Grant, Lewis
Grant, Mrs. Margaret
Grant, Joseph
Grant, G. H. Jr.
Grau, Frank Jr.
Graves, Mrs. Jennie
Gray, Mrs.
Gray, Walker
Gray, Mary Ellen
Gray, W. A.
Gray, Miss Jennie
Greber, Annie
Greehan, Mr. Sr.
Green, Mrs.
Green, Lizzie
Green, Manuel
Green, Nat. S.
Green, Mrs. Nat. S.
Greenpar, Fred
Green's son.,
Gregg, Mr.
Gregg, Mrs.
Gregg, Miss Jennie
Gregg's five children,
Gregor, Robert M.
Greupe, Charles
Griffin, William
Griffin, John
Griffin,(infant)
Griffin, Antonio
Griffin, Johnnie
Griffin, Mary G.
Griffin, Darrell F.
Griffin, Mike
Grigsby, Mrs. Mary
Grimes, Larry
Griswold, C. A.
Grogan, Edward
Grover, Fred
Groves.,
Guitavo, Fondain
Gummer.,
Gurley, Henry
Gurlock, Francis Sr.
Gurlock, Francis Jr.
Gusman, Charley
Gusman, Jennie
Guthrie, Michael
Gwinn, J. L.
Haessig, Daniel
Haessig, Henry
Hagge, Louise
Hagge, Mrs.
Hagge, John
Haggerty, James
Haggerty, John F.
Haggerty, Anne
Haggerty's two children ,
Hagge's child,
Hahn, Moses
Haley, Capt.
Hall, James
Hall, John
Hall, Rosa
Halley, Joseph L.
Hallows, Evaline
Halner, Mrs.
Halstead, W. H.
Hamilton, Chas.
Hamilton, J. W.
Hamilton, A. W.
Hammock, R. S.
Hamstein, Laura
Hanes, R. V.
Hanes, Miss Rosa
Haneustein, Julia
Hanley, Peter
Hanley, Edward
Hannigan, John
Hannstein, E.
Harden, Henry
Harder, Henry
Hare, Henry
Hargan, Mildred
Hargan, Mrs.
Harper, James
Harrington, H. S.
Harrington, A.
Harrington, Andy
Harrington.  ,
Harris, Willie
Harris, Davie
Harris, Ruth
Harris, Mrs. Mattie 
Harris.,
Harrison, M. J.
Harton, W. H.
Harvey, Walter W.
Haskell, Mrs. H.
Haston, V.
Hatch, Mrs. Manda
Hatcher, J. S.
Hauley, Margaret
Haumsteine,
Hauser's child,
Hawk, Mrs. M.
Hawkins, Sir Knight
Hawkins, A. S.
Hayes, Gatsel
Haynes, Nannie
Haynes, Walter B.
Hays, James
Hayse, Tim
Headly, Dr. T. J.
Heaffy, Cornelius
Heath, J. W.'
Heath, J. W.
Hefferman, Jerry
Hegge, John
Heidel, Robert
Heidman's child,
Heigh, Mansfield
Heilah, Wm.
Heldman, Wm.
Helman, Fred
Heman, Max .
Hemmerly, John
Hemple, Willie
Hems, Angeline
Hendricks, D.
Henman.,
Hennerger, Miss A.
Henniger, Otto
Henrique, John R.
Henry, Lula
Herbers, Frank
Herbert, Henry
Herbert.,
Herman, Lizzie
Herneson, Pauline 
Hewett, Mrs. Jessie
Hewett, Dr.'s child
Hewitt, P.
Hewitt, Mike
Hewitt, Thomas
Heyman, Howard
Heyman, Maurice
Heyman, Mrs.
Hickerson, Simon
Hicklin, Mr.
Hickman, Wm. B.
Hickman, Edward
Hicks, George
Hicks, Dr. John
Higgens, H. C.
Higgins, Wm.
Higgins.,
Hightower, Daniel
Hiland, John H.
Hill, E. J.
Hill, Wm. A.
Hill, W. P.
Hills, Walter C.
Himple, Mr. E.
HinklÄ™, Lida
Hint, Otto
Hiser, Catharine
Hitzfeld, Will
Hodges, W. H.
Hodges, Mrs. E.
Hodges, B. M.
Hodges, Dr. W. R. 
Hodges.,
Hoffman, Jacob
Hoffman, Henry
Hoffner, Rosena
Hogden, Jas.
Hohlen, Amelia
Holland, R. C.
Holland, T. P.
Hollenberg, Carrie
Holley, Luke
Holliday, A.
Hollingshead, C. B.
Holly.,
Hollywood, Mrs.
Hollywood, Lawrence 
Holmes, Maria
Holst, George
Holst, Theodore W. 
Holst.,
Holston, Martha
Holt, N. B.
Holt, Mrs.
Holt, Herman
Holt, John A.
Homan, Capt.
Honley, Daniel
Hood, Mrs.
Hood, Thomas B. 
Hope, George
Hope, John
Hope,
Hope, Tim
Horn, Mrs. Maggie
Horsley, Mollie
Horton, W. C.
Hotchkiss, Thos.
Hough, Gustavus
Howard, Mrs. C. W.
Howly, Frank
Huber, J. J.
Huber, Emily
Hudson, Wm.
Hudson, Ella
Huesman, Fred. R.
Hughes, John
Hughes, Mrs.
Huhn, Paul
Humes, A. R.
Huniger, Fred
Hunt, Wm.
Hunt.,
Hunter, Sadie
Hunter, Willie
Hunter, Ida
Huppert, Philip
Hurt's child,
Husse, Mrs. C.
Hutchinson, Robert
Hutsch, Theodore
Hyde, John
Ida.,
Ingalls, Dr.
Irby, Amanda
Irby, Lizzie
Irwin, Miss 'Emma N. 
Irwin, Mrs. John
Isaacs, Isaac
Jackson, Robt. Lee
Jackson, Mrs.
Jackson, Mrs.
Jackson, Henry
Jackson, Colden
Jackson, R. J.
Jacobi, J. C.
Jacobi, C. L.
Jacobi, J. C.
Jacobs, Joe
Jacobs, Mrs. Roberta
Jacobs, Dennis
Jake.,
James, Alice J.
Jamison, Wm.
Jefferson, Lewis
Jefferson, Mrs. B.
Jefferson, S. W.
Jefferson, Mrs. S.
Jehl, Edward
Jenkins, W.
Jenkins, Wm.
Jennie Joet, 
Jenny, F. J.
Jerome, Mrs. E. H.
Jobe, Sam. M.
Johanna.,
Johl, Mrs. Yetta
John, Chicago
John Johl.,
Johnson, Ed.
Johnson, Mrs.
Johnson, Chas.
Johnson, Edward
Johnson, Ben.
Johnson, John
Johnson, J. S.
Johnson, Mrs. M.
Johnson, Willie P. 
Johnson, Edward
Johnson, Cora L. 
Johnson, Cyrus
Johnson's child, 
Johnston, T. N.
Jones, Mrs.
Jones, Lou
Jones, John
Jones, Hannah
Jones, Eddie
Jones, C.
Jones, Marie Ellen 
Jones, Charles
Jones, Frank
Jones, Daisy
Jones, John
Jones, Mrs. Rachael 
Jones, Catharine
Jones, Anderson
Jones, Bob
Jones, Littleton
Joseph,
Joseph,Moth. Sup. Maria
Josephine, Sister
Joslin, Mrs.
Joyce, Patrick
Jozner, Mary
Juda, Charles
Judge, Theo.
Jukes, W. C.
Just, Marcus B.
Kadish, Mrs.'child
Kaff ki, Andrew
Kaffer, R.
Kahlfette, Irving
Kaiser, A.
Kallaher, C.
Kallaher, Mrs. S.
Kameron, Louis
Kammers, Amelia 
Kane, James
Kastin, A.
Kathriner, Emma
Kaufman, Lewis
Kaufman, Henry
Kaufman, Charles
Kaufman, Samuel
Kaufman, Mrs. L.
Kealhoffer, George
Keefe, Anna
Keefe, child
Keffavor, Adolphe
Keifferlie, Mollie
Keiger, Mrs. Rebecca 
Keining, Moses
Keiting, Dr.
Kelarhart, John
Kelhafer, Adolph W.
Kellaher, F.
Kellaher, John
Keller, Mike
Kelly, John
Kelly, John
Kelly, John
Kelly, Mike
Kelly, Luckeby
Kelly, Hannah
Kelly, John
Kendal, Peter
Kendall, Millie
Kendall, Robt.
Keney.,
Kenneally, Martin
Kennedy, Mrs.
Kennedy, W. A.
Kennedy, Florence
Kenney, James
Kenzler, Mrs. Margaret
Kenzler, Louis
Kercheval, E.
Kern, Arthur
Kerr, James M.
Kerr, Mrs. J. H. 
Kerr, William
Kerr, Mollie
Kerr, Charles
Kerr, Alexis B.
Kerr.,
Kery, James C.
Kesillen, A.
Keslow, Thomas
Kester, Susie
Keyer, Martin J.
Kilburn, H.
Kim, Richard
King, H. S.
King, Margaret
Kinnan, Thomas
Kirchner, Mr.
Kirchner, Alice
Kirkland, Henry
Kirwin, Dave
Klarutz, John
Klener, John
Klener, Johnnie
Klener, Joseph
Kline, Miss
Knight, Andy
Knowlton, L. S.
Knowlton, Eugene W.
Knox, Florence
Koch,Wm. Jr.
Koch, Wm.
Koenig, J. M.
Koffod, Thomas
Kohler, Amelia
Kortrecht, Judge Charles 
Kraft, Peter
Kraus, Wm.
Kraus, Mrs. B.
Kraus, George
Kraus, Henry
Kraus, Jacob
Kroeger, Fred
Kroker, Mrs.
Krouse, Miss Carlotta 
Kumpf, Willie
Kumpf, Matilda
Kutch, Kate
Kutsch, George
Kutsch, John
Labesque, J. M.
Labrella, Major
Lacaganni, L.
Lacey, Capt. A. T.
Lacey, Mrs. C.
Laherty, Kate
Lair, J. N.
Lake, Daniel
Lake, Miss Flora.
Lake, Robert
Lake, W. H.
Lallar, Reuben
Lamb, Ed.
Lambs, Annie C.
Landrum, Herbert S.
Landrum, George
Lane, Jo.
Lane, Lucy
Lane, H. B.
Lane, Adolph
Lane, Richard
Lang, Augusta
Lanham, E. W.
Lanigan, Bridget 
Lankford, C. R.
Lansford, W. W.
Lasalle, Mrs.
Latch, Amelia
Latch, Louise
Latch, John
Lauburg, John
Laurenz, C.
Laus, B.
Lavagna, Frank
Lavallan, Katie
Lawrence, S. M.
Lawrence, Jos. H.
Lawrence, Jennie
Lay, Louisa
Leach, John
Leath, Hamilton
Leath, Henrietta
Lebadu, Mrs.
Lee, James
Lee, Charles
Lego, Charles
LeGueere, G. H.
LeGuerre, Julia
Lehman, Y.
Lehman, Henry
Lehman, Mary
Leiber, Albert
Leibert, Ferd.
Leidy,Eugene
Lemmon, Tom.
Lemon, G. W
Lemons, Nellie
Lenhardt, Wm.
Lensford, Leoni
Leon.,
Leopold, Isaac
Leopold, Jack
Lepp, baby
Lerchy, Mrs. Rosina
Lertrud, Miss Louisa
Leshan, Miss A.
Leverson, Mrs. B. C.
Leverts, Fannie
Lewis, Louisa
Lewis, F. W.
Lewis, Clara
Lewis, John
Lieben, Miss A.
Lillig, Willie
Linburg, John
Lindeberg, Miss F.
Lindon, Charles
Lindsey, W. T.
Lindsey, W.T.
Lindsey, Belle
Ling, Lu
Linholm, John
Lippold, Willie
Lipsom, Fanny
Littlejohn, Lewis
Livingston, Henry
Livingston, Fannie
Lochmeyer, Wm.
Lochmeyer, A.
Loeb, Jacob
Loeffel, C.
Loeffel, Joe
Lohman, Leo.
Lohman, Mrs.
Lohman, Kate
Lolinski, Lewis
Lonergan, James
Loney, R. H. A.
Lonsdale, John G. Jr.
Lonsdale, Mrs. J. G.
Lonsdale, J. G. Sr.
Lorenz, L. M.
Lory.,
Louis, Adeline
Louis, George
Love, Allie
Love, Jenks
Love, Buddie
Love, Charlie
Lover, Robert
Lowry, Eddie
Lowry, Dr. W. R.
Lowry, R. F.
Lowry, Mrs. R. F.
Lowry, child
Lucas, Wm.
Ludlow, W.F.
Luetke, Louis
Lumpkin.,
Lunn, Phil. H.
Lunn, Miss Rose
Lunn, Thomas
Luster, Fred
Lute, Annie
Luter, Jacob
Lutz,J.
Lutz, Jacob
Luven, Rosalie
Lyman, Henry J.
Lynch, Mary
Lynch, Mrs.
Lynch, Wm.
Lynch, James
Lynch, Mike
Lynch, Amelia
Maag, Mrs. Geo.
